match_id,date,home_team,away_team,home_goals_ema_short,home_goals_ema_medium,home_goals_ema_long,home_goals_sma_short,home_goals_sma_medium,home_goals_sma_long,home_goals_momentum,home_goals_current_value,away_goals_ema_short,away_goals_ema_medium,away_goals_ema_long,away_goals_sma_short,away_goals_sma_medium,away_goals_sma_long,away_goals_momentum,away_goals_current_value,goals_ema_advantage,goals_momentum_advantage,home_goals_against_ema_short,home_goals_against_ema_medium,home_goals_against_ema_long,home_goals_against_sma_short,home_goals_against_sma_medium,home_goals_against_sma_long,home_goals_against_momentum,home_goals_against_current_value,away_goals_against_ema_short,away_goals_against_ema_medium,away_goals_against_ema_long,away_goals_against_sma_short,away_goals_against_sma_medium,away_goals_against_sma_long,away_goals_against_momentum,away_goals_against_current_value,goals_against_ema_advantage,goals_against_momentum_advantage,home_points_ema_short,home_points_ema_medium,home_points_ema_long,home_points_sma_short,home_points_sma_medium,home_points_sma_long,home_points_momentum,home_points_current_value,away_points_ema_short,away_points_ema_medium,away_points_ema_long,away_points_sma_short,away_points_sma_medium,away_points_sma_long,away_points_momentum,away_points_current_value,points_ema_advantage,points_momentum_advantage,home_trend_strength,away_trend_strength,home_macd,away_macd,macd_advantage,actual_result,actual_home_goals,actual_away_goals
16,2014-08-23,Southampton,West Bromwich Albion,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0,0,0.0,0.0,0.0,D,0.0,0.0
11,2014-08-23,Swansea City,Burnley,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,-2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,H,1.0,0.0
12,2014-08-23,Aston Villa,Newcastle,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,D,0.0,0.0
13,2014-08-23,Chelsea,Leicester,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0,0,0.0,0.0,0.0,H,2.0,0.0
14,2014-08-23,Crystal Palace,West Ham,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,A,1.0,3.0
15,2014-08-23,Everton,Arsenal,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,-2.0,0.0,0,0,0.0,0.0,0.0,D,2.0,2.0
19,2014-08-24,Sunderland,Manchester United,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,D,1.0,1.0
17,2014-08-24,Tottenham,Queens Park Rangers,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,H,4.0,0.0
18,2014-08-24,Hull City,Stoke City,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0,0,0.0,0.0,0.0,D,1.0,1.0
20,2014-08-25,Manchester City,Liverpool,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,0,0,0.0,0.0,0.0,H,3.0,1.0
21,2014-08-30,Burnley,Manchester United,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.33299999999999996,-100.0,2.333,2.636,2.81,2.0,2.0,2.0,-66.67,1.0,1.667,1.818,1.905,1.5,1.5,1.5,-50.0,1.0,0.6660000000000001,-16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,-0.333,-1000.0,0,0,-0.238,0.0,-0.238,D,0.0,0.0
22,2014-08-30,Everton,Chelsea,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.667,2.818,2.905,2.5,2.5,2.5,-33.33,2.0,-0.6669999999999998,33.33,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,1.333,100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,-2.0,0.0,0,0,0.0,-0.238,0.238,A,3.0,6.0
23,2014-08-30,Manchester City,Stoke City,2.333,2.182,2.095,2.5,2.5,2.5,50.0,3.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,2.0,-950.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.667,1000.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,2.667,-1000.0,1,1,0.238,0.23800000000000002,-2.7755575615628914e-17,A,0.0,1.0
24,2014-08-30,Newcastle,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,1.333,1.636,1.81,1.0,1.0,1.0,-100.0,0.0,2.333,2.182,2.095,2.5,2.5,2.5,50.0,3.0,-1.0000000000000002,-150.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,1000.0,0,0,0.0,0.0,0.0,D,3.0,3.0
25,2014-08-30,Queens Park Rangers,Sunderland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.818,1.905,1.5,1.5,1.5,-50.0,1.0,-1.667,50.0,2.0,1.545,1.286,2.5,2.5,2.5,300.0,4.0,1.667,1.818,1.905,1.5,1.5,1.5,-50.0,1.0,0.33299999999999996,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,0.0,0,0,0.0,-0.238,0.238,H,1.0,0.0
26,2014-08-30,Swansea City,West Bromwich Albion,1.667,1.818,1.905,1.5,1.5,1.5,-50.0,1.0,1.333,1.636,1.81,1.0,1.0,1.0,-100.0,0.0,0.3340000000000001,50.0,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,1.333,1.636,1.81,1.0,1.0,1.0,-100.0,0.0,-0.6659999999999999,0.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,0,0,-0.238,-0.4770000000000001,0.2390000000000001,H,3.0,0.0
27,2014-08-30,West Ham,Southampton,1.0,0.545,0.286,1.5,1.5,1.5,3000.0,3.0,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,0.33299999999999996,3100.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.333,1.636,1.81,1.0,1.0,1.0,-100.0,0.0,-0.33299999999999996,100.0,1.0,0.545,0.286,1.5,1.5,1.5,3000.0,3.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,0.667,2000.0,1,0,0.714,-0.238,0.952,A,1.0,3.0
28,2014-08-31,Aston Villa,Hull City,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.33299999999999996,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.182,0.095,0.5,0.5,0.5,1000.0,1.0,-0.333,-1000.0,2.333,2.636,2.81,2.0,2.0,2.0,-66.67,1.0,2.333,2.636,2.81,2.0,2.0,2.0,-66.67,1.0,0.0,0.0,0,0,-0.238,0.0,-0.238,H,2.0,1.0
29,2014-08-31,Leicester,Arsenal,1.333,1.636,1.81,1.0,1.0,1.0,-100.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,-0.667,-100.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,1.333,1.182,1.095,1.5,1.5,1.5,100.0,2.0,0.667,-100.0,0.667,0.818,0.905,0.5,0.5,0.5,-100.0,0.0,2.333,2.636,2.81,2.0,2.0,2.0,-66.67,1.0,-1.6660000000000001,-33.33,0,0,-0.4770000000000001,0.0,-0.4770000000000001,D,1.0,1.0
30,2014-08-31,Tottenham,Liverpool,2.0,1.545,1.286,2.5,2.5,2.5,300.0,4.0,1.667,1.818,1.905,1.5,1.5,1.5,-50.0,1.0,0.33299999999999996,350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.667,1.364,1.19,2.0,2.0,2.0,200.0,3.0,-1.667,-200.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,2.0,2.455,2.714,1.5,1.5,1.5,-100.0,0.0,1.0,100.0,1,0,0.714,-0.238,0.952,A,0.0,3.0
36,2014-09-13,Crystal Palace,Burnley,1.667,1.364,1.19,1.667,1.667,1.667,200.0,3.0,0.444,0.669,0.819,0.333,0.333,0.333,-100.0,0.0,1.223,300.0,2.556,2.331,2.181,2.667,2.667,2.667,50.0,3.0,1.556,2.157,2.542,1.333,1.333,1.333,-100.0,0.0,1.0,150.0,0.333,0.182,0.095,0.333,0.333,0.333,1000.0,1.0,0.333,0.182,0.095,0.333,0.333,0.333,1000.0,1.0,0.0,0.0,1,0,0.4770000000000001,-0.37499999999999994,0.8520000000000001,D,0.0,0.0
38,2014-09-13,Arsenal,Manchester City,1.667,1.818,1.905,1.667,1.667,1.667,-50.0,1.0,1.556,1.785,1.896,1.667,1.667,1.667,-100.0,0.0,0.11099999999999999,50.0,1.222,1.149,1.086,1.333,1.333,1.333,0.0,1.0,0.556,0.331,0.181,0.667,0.667,0.667,1000.0,1.0,0.6659999999999999,-1000.0,1.889,2.339,2.637,1.667,1.667,1.667,-66.67,1.0,2.0,2.455,2.714,2.0,2.0,2.0,-100.0,0.0,-0.11099999999999999,33.33,0,0,-0.238,-0.33999999999999986,0.10199999999999987,D,2.0,2.0
37,2014-09-13,Chelsea,Swansea City,3.778,3.397,3.2,3.667,3.667,3.667,100.0,6.0,2.111,2.033,2.009,2.0,2.0,2.0,50.0,3.0,1.6669999999999998,50.0,1.444,1.215,1.104,1.333,1.333,1.333,200.0,3.0,0.444,0.669,0.819,0.333,0.333,0.333,-100.0,0.0,1.0,300.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,3.0,0.0,0.0,1,1,0.5779999999999998,0.10200000000000031,0.47599999999999953,H,4.0,2.0
35,2014-09-13,Liverpool,Aston Villa,2.111,2.033,2.009,2.0,2.0,2.0,50.0,3.0,1.111,1.033,1.009,1.0,1.0,1.0,100.0,2.0,1.0000000000000002,-50.0,1.111,1.116,1.077,1.333,1.333,1.333,-100.0,0.0,0.333,0.182,0.095,0.333,0.333,0.333,1000.0,1.0,0.778,-1100.0,2.333,2.554,2.741,2.0,2.0,2.0,0.0,3.0,2.556,2.702,2.828,2.333,2.333,2.333,0.0,3.0,-0.22299999999999986,0.0,1,1,0.10200000000000031,0.10200000000000009,2.220446049250313e-16,A,0.0,1.0
34,2014-09-13,Southampton,Newcastle,1.444,1.215,1.104,1.333,1.333,1.333,200.0,3.0,1.0,0.545,0.286,1.0,1.0,1.0,3000.0,3.0,0.44399999999999995,-2800.0,1.222,1.521,1.732,1.0,1.0,1.0,-50.0,1.0,1.889,1.884,1.923,1.667,1.667,1.667,50.0,3.0,-0.667,-100.0,1.222,0.694,0.372,1.333,1.333,1.333,3000.0,3.0,0.556,0.331,0.181,0.667,0.667,0.667,1000.0,1.0,0.6659999999999999,2000.0,1,1,0.33999999999999986,0.714,-0.3740000000000001,H,4.0,0.0
33,2014-09-13,Sunderland,Tottenham,1.111,1.488,1.723,1.0,1.0,1.0,-100.0,0.0,1.333,1.264,1.163,1.667,1.667,1.667,-100.0,0.0,-0.22199999999999998,0.0,1.444,1.669,1.819,1.333,1.333,1.333,-50.0,1.0,1.0,0.545,0.286,1.0,1.0,1.0,3000.0,3.0,0.44399999999999995,-3050.0,0.667,0.818,0.905,0.667,0.667,0.667,-100.0,0.0,2.0,2.455,2.714,2.0,2.0,2.0,-100.0,0.0,-1.333,0.0,0,1,-0.6120000000000001,0.16999999999999993,-0.782,D,2.0,2.0
32,2014-09-13,West Bromwich Albion,Everton,0.889,1.339,1.637,0.667,0.667,0.667,-100.0,0.0,2.333,2.182,2.095,2.333,2.333,2.333,50.0,3.0,-1.4440000000000002,-150.0,1.889,1.884,1.923,1.667,1.667,1.667,50.0,3.0,3.333,2.727,2.381,3.333,3.333,3.333,200.0,6.0,-1.4440000000000002,-150.0,0.667,0.818,0.905,0.667,0.667,0.667,-100.0,0.0,0.667,0.818,0.905,0.667,0.667,0.667,-100.0,0.0,0.0,0.0,0,1,-0.748,0.238,-0.986,A,0.0,2.0
31,2014-09-13,Stoke City,Leicester,0.556,0.331,0.181,0.667,0.667,0.667,1000.0,1.0,1.222,1.521,1.732,1.0,1.0,1.0,-50.0,1.0,-0.6659999999999999,1050.0,0.667,0.818,0.905,0.667,0.667,0.667,-100.0,0.0,1.667,1.818,1.905,1.667,1.667,1.667,-50.0,1.0,-1.0,-50.0,1.222,0.694,0.372,1.333,1.333,1.333,3000.0,3.0,0.778,0.851,0.914,0.667,0.667,0.667,0.0,1.0,0.44399999999999995,3000.0,1,0,0.37500000000000006,-0.51,0.885,A,0.0,1.0
39,2014-09-14,Manchester United,Queens Park Rangers,0.667,0.818,0.905,0.667,0.667,0.667,-100.0,0.0,0.333,0.182,0.095,0.333,0.333,0.333,1000.0,1.0,0.334,-1100.0,1.111,1.488,1.723,1.0,1.0,1.0,-100.0,0.0,1.333,1.264,1.163,1.667,1.667,1.667,-100.0,0.0,-0.22199999999999998,0.0,0.556,0.331,0.181,0.667,0.667,0.667,1000.0,1.0,1.0,0.545,0.286,1.0,1.0,1.0,3000.0,3.0,-0.44399999999999995,-2000.0,0,1,-0.238,0.23800000000000002,-0.476,H,4.0,0.0
40,2014-09-15,Hull City,West Ham,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.628,0.354,1.333,1.333,1.333,1000.0,1.0,0.0,-1000.0,0.889,0.512,0.277,1.0,1.0,1.0,2000.0,2.0,1.667,1.364,1.19,1.667,1.667,1.667,200.0,3.0,-0.778,1800.0,1.556,2.157,2.542,1.333,1.333,1.333,-100.0,0.0,0.667,0.446,0.259,1.0,1.0,1.0,0.0,0.0,0.889,-100.0,0,1,0.0,0.646,-0.646,D,2.0,2.0
46,2014-09-20,Newcastle,Hull City,0.667,0.446,0.259,0.75,0.75,0.75,0.0,0.0,1.333,1.182,1.095,1.25,1.25,1.25,100.0,2.0,-0.6659999999999999,-100.0,2.593,2.269,2.121,2.25,2.25,2.25,100.0,4.0,1.259,0.783,0.441,1.25,1.25,1.25,2000.0,2.0,1.334,-1900.0,0.37,0.27,0.164,0.5,0.5,0.5,0.0,0.0,1.37,1.947,2.395,1.25,1.25,1.25,-66.67,1.0,-1.0,66.67,1,1,0.40800000000000003,0.238,0.17000000000000004,D,2.0,2.0
44,2014-09-20,Burnley,Sunderland,0.296,0.548,0.741,0.25,0.25,0.25,-100.0,0.0,1.407,1.581,1.75,1.25,1.25,1.25,0.0,2.0,-1.111,-100.0,1.037,1.765,2.3,1.0,1.0,1.0,-100.0,0.0,1.63,1.73,1.836,1.5,1.5,1.5,0.0,2.0,-0.593,-100.0,0.556,0.331,0.181,0.5,0.5,0.5,1000.0,1.0,0.778,0.851,0.914,0.75,0.75,0.75,0.0,1.0,-0.22199999999999998,1000.0,0,0,-0.445,-0.34299999999999997,-0.10200000000000004,D,0.0,0.0
45,2014-09-20,Aston Villa,Arsenal,1.074,1.027,1.008,1.0,1.0,1.0,0.0,1.0,1.778,1.851,1.914,1.75,1.75,1.75,0.0,2.0,-0.704,0.0,0.222,0.149,0.086,0.25,0.25,0.25,0.0,0.0,1.481,1.304,1.173,1.5,1.5,1.5,100.0,2.0,-1.2590000000000001,-100.0,2.704,2.757,2.844,2.5,2.5,2.5,0.0,3.0,1.593,2.095,2.481,1.5,1.5,1.5,-66.67,1.0,1.1110000000000002,66.67,1,0,0.06600000000000006,-0.1359999999999999,0.20199999999999996,A,0.0,3.0
42,2014-09-20,Queens Park Rangers,Stoke City,0.222,0.149,0.086,0.25,0.25,0.25,0.0,0.0,0.37,0.27,0.164,0.5,0.5,0.5,0.0,0.0,-0.148,0.0,2.222,1.762,1.433,2.25,2.25,2.25,300.0,4.0,0.778,0.851,0.914,0.75,0.75,0.75,0.0,1.0,1.444,300.0,0.667,0.446,0.259,0.75,0.75,0.75,0.0,0.0,0.815,0.568,0.336,1.0,1.0,1.0,0.0,0.0,-0.1479999999999999,0.0,1,1,0.136,0.206,-0.06999999999999998,D,2.0,2.0
41,2014-09-20,West Ham,Liverpool,1.333,0.878,0.511,1.5,1.5,1.5,2000.0,2.0,1.407,1.663,1.818,1.5,1.5,1.5,-100.0,0.0,-0.07400000000000007,2100.0,1.778,1.479,1.268,1.75,1.75,1.75,100.0,2.0,1.074,1.095,1.07,1.25,1.25,1.25,0.0,1.0,0.704,100.0,0.778,0.547,0.329,1.0,1.0,1.0,1000.0,1.0,1.556,2.089,2.48,1.5,1.5,1.5,-100.0,0.0,-0.778,1100.0,1,0,0.822,-0.41100000000000003,1.233,H,3.0,1.0
43,2014-09-20,Swansea City,Southampton,2.074,2.027,2.008,2.0,2.0,2.0,0.0,2.0,2.296,1.721,1.38,2.0,2.0,2.0,300.0,4.0,-0.22199999999999998,-300.0,1.63,1.275,1.122,1.25,1.25,1.25,300.0,4.0,0.815,1.244,1.567,0.75,0.75,0.75,-100.0,0.0,0.815,400.0,2.0,2.455,2.714,2.25,2.25,2.25,-100.0,0.0,1.815,1.113,0.622,1.75,1.75,1.75,3000.0,3.0,0.18500000000000005,-3100.0,1,1,0.06599999999999984,0.9159999999999999,-0.8500000000000001,A,0.0,1.0
